年度,総排出量_万トン,直接焼却量_万トン,直接最終処分量_万トン,焼却残渣量_万トン,処理残渣量_万トン,最終処分量合計_万トン,中間処理後再生利用量_万トン,焼却施設での資源化_万トン,リサイクル率_%
2010,3882.7195,3525.3631,-356.85187199999996,423.043572,,66.1917,107.9469,454.7333,20.75203520224044
2011,3902.4688783,3543.246,-365.90292,425.18952,,59.2866,108.6361,454.81518090000003,20.588242345253008
2012,3888.446,3540.7496,-368.16495199999997,424.889952,4.4659,56.725,109.9396,449.79916,20.445971820273947
2013,4487.0,,,0.0591,,45.4,,0.0161,20.6
2014,4432.0,,,0.0628,0.0001,43.0,,0.0164,20.6
2015,4398.0,,,0.0582,0.0001,41.7,,,20.4
2016,4317.0,,,0.0672,,39.8,,0.0175,20.3
2017,4289.0,,,0.0615,,38.6,,0.0168,20.2
2018,4273.0,,,0.0583,,38.0,,0.017,19.9
2019,3702.052,3442.7142008,-373.069604096,413.125704096,0.8415,40.0561,131.89572280000002,460.5641848,19.61477277777582
2020,3615.9719737000005,3346.627788,-364.90763455999996,401.59533455999997,0.5726,36.6877,137.32907124849584,476.0171391905697,19.95313389527709
2021,3565.7599090000003,3149.104033937062,-343.9101000724474,377.8924840724474,0.0315,33.982384,137.97359336228402,1869.3097706131111,19.88822772390507
2022,3516.4420177,3113.8695678,-339.897748136,373.664348136,0.0683,33.7666,130.7916502,1804.4917288800002,19.562616912367144
