年度,総排出量_万トン,直接焼却量_万トン,最終処分量_万トン,リサイクル率_%,焼却残渣量_万トン,直接最終処分量_万トン
2010,3882.7195,3379.8599,66.1917,19.259273537008855,483.7224,-417.5307
2011,3902.4688783,3400.2433,59.2866,19.046787654062747,482.0624,-422.7758
2012,3888.446,3399.0433,56.725,18.937680454086472,464.7914,-408.0664
2013,4487.0,3348.0,45.4,20.6,385.02000000000004,-339.62000000000006
2014,4432.0,3305.0,43.0,20.6,376.77000000000004,-333.77000000000004
2015,4398.0,3276.0,41.7,20.4,370.188,-328.488
2016,4317.0,3216.0,39.8,20.3,360.192,-320.392
2017,4289.0,3196.0,38.6,20.2,354.75600000000003,-316.156
2018,4273.0,3189.0,38.0,19.9,350.79,-312.79
2019,3702.052,3294.6261008,40.0561,17.804850782162923,380.1632,-340.1071
2020,3615.9719737000005,3187.160288,36.6877,18.033317182124982,363.7775,-327.08979999999997
2021,4095.25847824,3149.104033937062,41.06979525551529,17.970853605105116,15.544795255515291,2.1364
2022,4034.4085536599996,3113.8695678,38.88184394298633,17.68891061423056,14.950943942986324,2.6164
