年度,総排出量_万トン,リサイクル率_%,1人1日あたり排出量_g,最終処分量_万トン,データソース
2010,4536,20.75203520224044,914.8068268497769,66.1917,全国データ
2011,4549,20.588242345253008,976.2420850426773,59.2866,全国データ
2012,4523,20.445971820273947,963.2918102266335,56.725,全国データ
2013,4487,20.6,965.7,45.4,都道府県集計
2014,4432,20.6,955.5,43.0,都道府県集計
2015,4398,20.4,948.1,41.7,都道府県集計
2016,4317,20.3,931.8,41.8865723,都道府県集計
2017,4289,20.2,927.4,38.6,都道府県集計
2018,4273,19.9,925.9,38.0,都道府県集計
2019,4274,19.61477277777582,918.527357835287,40.0561,全国データ
2020,4167,19.95313389527709,900.7583591812089,36.6877,全国データ
2021,4120,19.88822772390507,889.983872547673,33.982384,全国データ
2022,4096,19.562616912367144,879.7892244811147,33.7666,全国データ
