年度,総排出量_万トン,直接焼却量_万トン,最終処分量_万トン,リサイクル率_%,焼却残渣量_万トン,直接最終処分量_万トン,残余容量_万m3,残余年数
2010,4536,3387,48.4,20.8,40.0,8.4,11482,19.3
2011,4549,3398,48.2,20.4,39.8,8.4,11175,18.9
2012,4523,3379,46.5,20.4,38.4,8.1,11160,19.7
2013,4487,3348,45.4,20.6,37.5,7.9,10794,19.3
2014,4432,3305,43.0,20.6,35.5,7.5,10731,20.1
2015,4398,3276,41.7,20.4,34.2,7.5,10656,20.4
2016,4317,3216,39.8,20.3,32.6,7.2,10636,21.8
2017,4289,3196,38.6,20.2,31.6,7.0,10337,21.6
2018,4273,3189,38.0,19.9,31.0,7.0,10225,21.8
2019,4274,3196,38.0,19.6,31.0,7.0,10072,21.4
2020,4167,3108,36.4,20.0,29.8,6.6,9876,21.6
2021,4120,3072,34.2,19.9,27.9,6.3,9654,22.4
2022,4096,3059,33.8,19.6,27.5,6.3,9465,22.3
