年度,総排出量_万トン,直接焼却量_万トン,最終処分量_万トン,リサイクル率_%,焼却残渣量_万トン,直接最終処分量_万トン,残余容量_万m3,残余年数,1人1日排出量_g,処理残渣量_万トン,資源化量_万トン,中間処理後再生利用量_万トン,焼却残渣再資源化率_%
2010,4536,3387,48.4,20.8,40.0,8.4,11482,19.3,976,-1.7763568394002505e-15,943.488,518.9184,8.0
2011,4549,3398,48.2,20.4,39.8,8.4,11175,18.9,975,5.329070518200751e-15,927.9959999999999,510.39779999999996,8.583333333333334
2012,4523,3379,46.5,20.4,38.4,8.1,11160,19.7,964,1.7763568394002505e-15,922.692,507.48060000000004,9.166666666666666
2013,4487,3348,45.4,20.6,37.5,7.9,10794,19.3,966,-1.7763568394002505e-15,924.3220000000001,508.3771000000001,9.75
2014,4432,3305,43.0,20.6,35.5,7.5,10731,20.1,955,0.0,912.9920000000001,502.14560000000006,10.333333333333334
2015,4398,3276,41.7,20.4,34.2,7.5,10656,20.4,948,0.0,897.192,493.45560000000006,10.916666666666668
2016,4317,3216,39.8,20.3,32.6,7.2,10636,21.8,932,-4.440892098500626e-15,876.3510000000001,481.9930500000001,11.5
2017,4289,3196,38.6,20.2,31.6,7.0,10337,21.6,927,0.0,866.378,476.50790000000006,12.083333333333334
2018,4273,3189,38.0,19.9,31.0,7.0,10225,21.8,926,0.0,850.327,467.67985000000004,12.666666666666668
2019,4274,3196,38.0,19.6,31.0,7.0,10072,21.4,918,0.0,837.7040000000001,460.7372000000001,13.25
2020,4167,3108,36.4,20.0,29.8,6.6,9876,21.6,901,-1.7763568394002505e-15,833.4,458.37,13.833333333333334
2021,4120,3072,34.2,19.9,27.9,6.3,9654,22.4,890,4.440892098500626e-15,819.88,450.934,14.416666666666668
2022,4096,3059,33.8,19.6,27.5,6.3,9465,22.3,880,-2.6645352591003757e-15,802.816,441.5488,15.0
